id,salesTargetId,month,targetAmount,isManualOverride,createdAt,updatedAt
71f1c5b5-1518-4ad5-b46e-31cbe5d2a2d7,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,1,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
b9920c36-681e-4534-8dbc-c0f068f20d83,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,2,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
8a13ed08-62f2-4a1c-bd6f-83bd2c384c9c,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,3,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
33513cb1-7200-433a-add4-f9c7f822b4f1,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,4,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
6e45c7c6-ccd1-4587-928e-8280b5f7dfb8,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,5,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
f9cd1248-992b-4ae0-9d5f-d3e6061ddd4c,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,6,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
b531db52-9cb6-4698-bca7-e9f2b661ae8a,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,7,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
41396aa5-c771-479c-93b4-ccb5ad125501,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,8,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
8ce3235a-b62a-40b3-af9e-abe2f25a53db,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,9,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
e9986277-6fba-4ffd-bd83-4256298a1404,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,10,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
e2bb1bd9-8c64-45e7-9459-2cec869ef777,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,11,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
134ca19b-7da2-4aed-88df-1e35779aa69d,2ff7f2c1-cfe6-4668-a4c3-2c24e5ee95dc,12,100000000.000000000000000000000000000000,f,2026-03-09 01:58:02.389,2026-03-09 01:58:02.389
